Name,Description,Duration,Year,Type
Yo te amo Phillip Morris,Comedia negra que narra la historia de un estafador padre de familia que acaba en prisión donde se enamora de su compañero de celda.,"1 horas, 55 minutos",2008,movie
A walk to remember,"La historia de dos adolescentes de Carolina del Norte, Landon Carter y Jamie Sullivan, que se unen después de que Landon se mete en problemas y está obligado a hacer servicio comunitario.","2 horas, 4 minutos",2002,movie
El Medallón Perdido,"El arqueólogo Dr. Michael Stone buscó el medallón perdido toda su vida, y ahora su hijo Billy se ha hecho cargo de la búsqueda.","1 horas, 56 minutos",2012,movie
Ten cuidado a quien llamas,Seis amigos atraen la atención de una presencia demoníaca durante una sesión en línea y comienzan a notar sucesos extraños en sus hogares.,"1 horas, 6 minutos",2019,movie
Silent Hill: Revelation,"Cuando cumple 18 años, Heather Mason decide buscar a su padre. Las pesadillas que la acechan la conducen a la ciudad de la niebla eterna, donde acabará descubriendo el misterio de Silent Hill.","1 horas, 52 minutos",2012,movie
La Sirenita,El periodista Cam Harrison va a investigar la historia de una sirena. Lleva a su sobrina a esta empresa y los dos son testigos de su actuación en un circo. Cam está enamorado de la sirena y la protege cuando el dueño del circo se enfurece por su fuga.,"1 horas, 41 minutos",2017,movie
Un pedacito de cielo,"Marley (Kate Hudson) es una mujer joven que descubre que se está muriendo de cáncer, pero cuando de forma inesperada se enamora de su médico (Gael García Bernal), la amenaza de caer en el amor es más aterradora que la muerte.","2 horas, 6 minutos",2010,movie
Yo amo a Shakey,"JT O’Neil, con su hija de 10 años, y su devoto perro Shakey se mudan a una pequeña ciudad de Chicago y al no leer la letra pequeña de su contrato de alquiler, JT se ve obligado a tratar de deshacerse de su perro.","2 horas, 0 minutos",2011,movie
Shelby,"Shelby es un perro sin dueño que tiene por costumbre fugarse de la perrera cada vez que tiene la oportunidad. Durante una de sus escapadas conoce a Jake, un niño que sueña con ser un gran mago, y se hacen amigos inseparables.","1 horas, 50 minutos",2020,movie
Chiguagua: el fantasma,"Al heredar una antigua casa de vacaciones, los Fastener se dan cuenta que la perra de sus antepasados, Sophie los persigue. Homer, su golden retriever, se hace amigo de Sophie y descubre que ella solo está buscando una familia a la que amar","1 horas, 38 minutos",2013,movie
Max salva al Mundo,Sean y su perro Max quieren ser detectives pero en su vecindario no sucede nada hasta que desaparece un diamante. Ahora tendrán que enfrentarse a un grupo de alienígenas que vienen al planeta con planes de quemar la Tierra.,"1 horas, 44 minutos",2014,movie
"Benny , El Feo","Es la historia de un perro sin buena apariencia, sus dueños no tenian idea de que hacer con el cachorro extraño. Pero su ternura logro que una familia lo adoptara y desde ese momento la vida de Benny ha cambiado totalmente.","1 horas, 57 minutos",2014,movie
Un amor hasta las patas,"Su amiga Roxana decide conseguirle una cita a través de las redes sociales. El desastre de la cita la lleva a pedirle un deseo a un mágico ""gato de los deseos"": tener un novio tan tierno y comprensible como sus 2 adorables perros.","1 horas, 42 minutos",2018,movie
Mi Angel Guardián,"Cooper, un perro, es el único sobreviviente de un terrible accidente automovilístico. Jake pierde a su esposa e hijos en el accidente. Jake es de enojo hacia el perro, pero este vinculo termina siendo lo unico que lo ayuda a seguir viviendo.","1 horas, 41 minutos",2011,movie
Amor por el Perro,"Cuando una madre divorciada intenta iniciar una nueva relación, sus hijos y su perro comienzan a sabotear el romance. Tienen éxito, hasta que aparece un ex novio de la escuela.","1 horas, 37 minutos",2019,movie
"¿EI, Dónde está mi Perro?","Un joven llamado Ray se queda en casa para cuidar al perro de la familia, Harry, para demostrarles a sus padres que no es, como dicen, ""irresponsable"".","1 horas, 38 minutos",2019,movie
El refugio,"La familia Davis es un desastre, pero un perro callejero logrará en poco tiempo restaurar su matrimonio, arreglar una relación padre-hijo deteriorada, alegrar la vida de un niño de 9 años y salvar a un niño muy pequeño.","1 horas, 40 minutos",2012,movie
Un equipo incomparable,"Seeker, un perro que no puede oler, y Fetch, un cerdo casi ciego ayudan a mascotas perdidas a encontrar sus hogares.","1 horas, 36 minutos",2010,movie
